priority,wave,status,jobId,modelId,variant,category,family,variantSubject,purpose,targetPolygons,referenceImage,canonicalIncoming,canonicalProcessed,donorOwns,engineOwns,expectedProceduralReplacements,acceptanceFocus,meshyPrompt
111,V1-B,queued,M034-B,M034,B,mechanism,Ventilation fan or large workshop bellows,ducted rotary fan,A legible air-moving landmark for dangerous interiors.,1200,reference-images/M034-B-ventilation-fan-or-large-workshop-bellows-v1.png,incoming/M034-B-ventilation-fan-or-large-workshop-bellows-smart-1200.glb,processed/M034-B-ventilation-fan-or-large-workshop-bellows-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the ducted rotary fan","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy ventilation fan or large workshop bellows donor for Genesis. Variant: ducted rotary fan. Functional purpose: A legible air-moving landmark for dangerous interiors. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the ducted rotary fan. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M019-C,M019,C,mechanism,Universal four-wheel wagon chassis,axle-broken wreck,"Narrow reusable platform with separate wheels, axles, tongue, bed, and attachment sockets for cargo, sides, canopy, lights, and repair states.",1800,reference-images/M019-C-universal-four-wheel-wagon-chassis-v1.png,incoming/M019-C-universal-four-wheel-wagon-chassis-smart-1800.glb,processed/M019-C-universal-four-wheel-wagon-chassis-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the axle-broken wreck","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy universal four-wheel wagon chassis donor for Genesis. Variant: axle-broken wreck. Functional purpose: Narrow reusable platform with separate wheels, axles, tongue, bed, and attachment sockets for cargo, sides, canopy, lights, and repair states. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the axle-broken wreck. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M020-C,M020,C,mechanism,Two-wheel handcart,overturned/broken cart,"Human-scale carrier suitable for markets, camps, workshops, corpses, tools, and improvised barricades.",1200,reference-images/M020-C-two-wheel-handcart-v1.png,incoming/M020-C-two-wheel-handcart-smart-1200.glb,processed/M020-C-two-wheel-handcart-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the overturned/broken cart","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy two-wheel handcart donor for Genesis. Variant: overturned/broken cart. Functional purpose: Human-scale carrier suitable for markets, camps, workshops, corpses, tools, and improvised barricades. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the overturned/broken cart. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M021-C,M021,C,mechanism,Mine ore cart,derailed/deformed cart,Compact industrial tub and wheel assembly that can run on rails or a prepared haul route.,1100,reference-images/M021-C-mine-ore-cart-v1.png,incoming/M021-C-mine-ore-cart-smart-1100.glb,processed/M021-C-mine-ore-cart-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the derailed/deformed cart","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy mine ore cart donor for Genesis. Variant: derailed/deformed cart. Functional purpose: Compact industrial tub and wheel assembly that can run on rails or a prepared haul route. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the derailed/deformed cart. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M022-C,M022,C,mechanism,Sledge and travois carrier,snapped/abandoned carrier,"Wheel-free hauling platform for rough ground, snow, mud, camp movement, and creature or humanoid drag teams.",900,reference-images/M022-C-sledge-and-travois-carrier-v1.png,incoming/M022-C-sledge-and-travois-carrier-smart-900.glb,processed/M022-C-sledge-and-travois-carrier-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the snapped/abandoned carrier","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy sledge and travois carrier donor for Genesis. Variant: snapped/abandoned carrier. Functional purpose: Wheel-free hauling platform for rough ground, snow, mud, camp movement, and creature or humanoid drag teams. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the snapped/abandoned carrier. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M023-C,M023,C,mechanism,Pack frame and carrier rack,collapsed load frame,"Freestanding load-bearing framework that can receive bags, ore, firewood, bodies, cages, or ritual cargo.",900,reference-images/M023-C-pack-frame-and-carrier-rack-v1.png,incoming/M023-C-pack-frame-and-carrier-rack-smart-900.glb,processed/M023-C-pack-frame-and-carrier-rack-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the collapsed load frame","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy pack frame and carrier rack donor for Genesis. Variant: collapsed load frame. Functional purpose: Freestanding load-bearing framework that can receive bags, ore, firewood, bodies, cages, or ritual cargo. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the collapsed load frame. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M024-C,M024,C,mechanism,Counterweighted road barrier,dropped/broken barrier,"Recognizable checkpoint mechanism with separately useful beam, pivot, weight, rope, and support.",1000,reference-images/M024-C-counterweighted-road-barrier-v1.png,incoming/M024-C-counterweighted-road-barrier-smart-1000.glb,processed/M024-C-counterweighted-road-barrier-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the dropped/broken barrier","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy counterweighted road barrier donor for Genesis. Variant: dropped/broken barrier. Functional purpose: Recognizable checkpoint mechanism with separately useful beam, pivot, weight, rope, and support. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the dropped/broken barrier. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M025-C,M025,C,mechanism,Hand windlass and winch,seized/broken drum,"Universal rotating drum for wells, gates, shafts, bridges, cages, and workshop lifting.",1200,reference-images/M025-C-hand-windlass-and-winch-v1.png,incoming/M025-C-hand-windlass-and-winch-smart-1200.glb,processed/M025-C-hand-windlass-and-winch-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the seized/broken drum","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy hand windlass and winch donor for Genesis. Variant: seized/broken drum. Functional purpose: Universal rotating drum for wells, gates, shafts, bridges, cages, and workshop lifting. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the seized/broken drum. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M026-C,M026,C,mechanism,Mine hoist headframe assembly,collapsed headframe,Compact above-shaft lifting vocabulary; not a whole building.,1500,reference-images/M026-C-mine-hoist-headframe-assembly-v1.png,incoming/M026-C-mine-hoist-headframe-assembly-smart-1500.glb,processed/M026-C-mine-hoist-headframe-assembly-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the collapsed headframe","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy mine hoist headframe assembly donor for Genesis. Variant: collapsed headframe. Functional purpose: Compact above-shaft lifting vocabulary; not a whole building. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the collapsed headframe. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M027-C,M027,C,mechanism,Capstan and chain drum,jammed/spent mechanism,"Waist-high rotational mechanism for hauling, gates, ship-like works, mines, and heavy doors.",1000,reference-images/M027-C-capstan-and-chain-drum-v1.png,incoming/M027-C-capstan-and-chain-drum-smart-1000.glb,processed/M027-C-capstan-and-chain-drum-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the jammed/spent mechanism","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy capstan and chain drum donor for Genesis. Variant: jammed/spent mechanism. Functional purpose: Waist-high rotational mechanism for hauling, gates, ship-like works, mines, and heavy doors. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the jammed/spent mechanism. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M028-C,M028,C,mechanism,Piston mine pump,failed/leaking pump,"Readable intake, cylinder, lever, and discharge parts for flood control and industrial storytelling.",1400,reference-images/M028-C-piston-mine-pump-v1.png,incoming/M028-C-piston-mine-pump-smart-1400.glb,processed/M028-C-piston-mine-pump-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the failed/leaking pump","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy piston mine pump donor for Genesis. Variant: failed/leaking pump. Functional purpose: Readable intake, cylinder, lever, and discharge parts for flood control and industrial storytelling. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the failed/leaking pump. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M029-C,M029,C,mechanism,Bellows or treadle pump,torn/collapsed bellows,"Low-tech air or water movement device serving forge, mine ventilation, workshop, and ritual fire.",900,reference-images/M029-C-bellows-or-treadle-pump-v1.png,incoming/M029-C-bellows-or-treadle-pump-smart-900.glb,processed/M029-C-bellows-or-treadle-pump-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the torn/collapsed bellows","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy bellows or treadle pump donor for Genesis. Variant: torn/collapsed bellows. Functional purpose: Low-tech air or water movement device serving forge, mine ventilation, workshop, and ritual fire. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the torn/collapsed bellows. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M030-C,M030,C,mechanism,Jaw crusher,jammed/broken crusher,"Compact paired plates, hopper, and drive suitable for ore, stone, salvage, or fantasy processing.",1400,reference-images/M030-C-jaw-crusher-v1.png,incoming/M030-C-jaw-crusher-smart-1400.glb,processed/M030-C-jaw-crusher-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the jammed/broken crusher","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy jaw crusher donor for Genesis. Variant: jammed/broken crusher. Functional purpose: Compact paired plates, hopper, and drive suitable for ore, stone, salvage, or fantasy processing. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the jammed/broken crusher. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M031-C,M031,C,mechanism,Stamp-mill module,snapped/seized stamp,One readable repeatable stamping unit rather than a whole industrial building.,1500,reference-images/M031-C-stamp-mill-module-v1.png,incoming/M031-C-stamp-mill-module-smart-1500.glb,processed/M031-C-stamp-mill-module-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the snapped/seized stamp","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy stamp-mill module donor for Genesis. Variant: snapped/seized stamp. Functional purpose: One readable repeatable stamping unit rather than a whole industrial building. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the snapped/seized stamp. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M032-C,M032,C,mechanism,Ore-washing rocker and trough,silted/broken wash unit,"Water-assisted processing equipment with separated tray, stand, screen, and discharge.",1100,reference-images/M032-C-ore-washing-rocker-and-trough-v1.png,incoming/M032-C-ore-washing-rocker-and-trough-smart-1100.glb,processed/M032-C-ore-washing-rocker-and-trough-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the silted/broken wash unit","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy ore-washing rocker and trough donor for Genesis. Variant: silted/broken wash unit. Functional purpose: Water-assisted processing equipment with separated tray, stand, screen, and discharge. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the silted/broken wash unit. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M033-C,M033,C,mechanism,Sorting hopper and work table,tipped/spilled station,"Reusable gravity-fed task station for ore, grain, salvage, market goods, or alchemical material.",1000,reference-images/M033-C-sorting-hopper-and-work-table-v1.png,incoming/M033-C-sorting-hopper-and-work-table-smart-1000.glb,processed/M033-C-sorting-hopper-and-work-table-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the tipped/spilled station","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy sorting hopper and work table donor for Genesis. Variant: tipped/spilled station. Functional purpose: Reusable gravity-fed task station for ore, grain, salvage, market goods, or alchemical material. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the tipped/spilled station. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
112,V1-C,queued,M034-C,M034,C,mechanism,Ventilation fan or large workshop bellows,stopped/damaged fan,A legible air-moving landmark for dangerous interiors.,1200,reference-images/M034-C-ventilation-fan-or-large-workshop-bellows-v1.png,incoming/M034-C-ventilation-fan-or-large-workshop-bellows-smart-1200.glb,processed/M034-C-ventilation-fan-or-large-workshop-bellows-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the stopped/damaged fan","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy ventilation fan or large workshop bellows donor for Genesis. Variant: stopped/damaged fan. Functional purpose: A legible air-moving landmark for dangerous interiors. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the stopped/damaged fan. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
113,V1-D,queued,M019-D,M019,D,mechanism,Universal four-wheel wagon chassis,reinforced service chassis,"Narrow reusable platform with separate wheels, axles, tongue, bed, and attachment sockets for cargo, sides, canopy, lights, and repair states.",1800,reference-images/M019-D-universal-four-wheel-wagon-chassis-v1.png,incoming/M019-D-universal-four-wheel-wagon-chassis-smart-1800.glb,processed/M019-D-universal-four-wheel-wagon-chassis-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the reinforced service chassis","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy universal four-wheel wagon chassis donor for Genesis. Variant: reinforced service chassis. Functional purpose: Narrow reusable platform with separate wheels, axles, tongue, bed, and attachment sockets for cargo, sides, canopy, lights, and repair states. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the reinforced service chassis. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
113,V1-D,queued,M020-D,M020,D,mechanism,Two-wheel handcart,patched culture-owned cart,"Human-scale carrier suitable for markets, camps, workshops, corpses, tools, and improvised barricades.",1200,reference-images/M020-D-two-wheel-handcart-v1.png,incoming/M020-D-two-wheel-handcart-smart-1200.glb,processed/M020-D-two-wheel-handcart-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the patched culture-owned cart","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy two-wheel handcart donor for Genesis. Variant: patched culture-owned cart. Functional purpose: Human-scale carrier suitable for markets, camps, workshops, corpses, tools, and improvised barricades. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the patched culture-owned cart. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
